"Population estimates, quarterly 1 2 3 4"
"Frequency: Quarterly"
"Table: 17-10-0009-01 (formerly CANSIM 051-0005)"
"Release date: 2025-12-17"
"Geography: Canada, Province or territory"
""
""

"Geography","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025"
,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alberta","3,897,746","3,917,941","3,944,281","3,978,532","4,008,421","4,027,497","4,051,858","4,081,271","4,103,702","4,113,697","4,125,943","4,150,147","4,163,048","4,171,847","4,182,353","4,195,427","4,207,139","4,215,506","4,224,933","4,237,310","4,253,530","4,263,957","4,276,444","4,292,556","4,311,439","4,324,254","4,337,569","4,355,377","4,376,860","4,392,958","4,405,455","4,407,495","4,412,013","4,418,338","4,425,617","4,431,531","4,451,129","4,466,136","4,482,503","4,512,731","4,560,275","4,596,901","4,641,615","4,688,576","4,752,173","4,801,806","4,857,695","4,909,030","4,957,075","4,988,181","5,010,078","5,029,346","5,040,871"
"British Columbia","4,594,846","4,602,742","4,616,335","4,634,943","4,663,919","4,672,025","4,689,892","4,712,691","4,743,505","4,751,439","4,763,917","4,765,472","4,795,547","4,807,562","4,831,042","4,861,269","4,886,638","4,894,147","4,908,971","4,934,202","4,962,706","4,974,712","4,991,716","5,020,979","5,052,131","5,061,132","5,080,515","5,111,022","5,148,047","5,157,053","5,169,535","5,176,101","5,173,896","5,180,015","5,200,393","5,226,665","5,269,491","5,287,664","5,313,881","5,358,845","5,406,059","5,432,939","5,466,566","5,515,296","5,572,694","5,601,024","5,638,043","5,671,114","5,696,852","5,699,989","5,699,690","5,697,536","5,683,201"
"Yukon","36,347","36,299","36,242","36,454","36,384","36,333","36,626","37,085","37,223","37,123","37,330","37,669","37,730","37,756","38,025","38,549","38,724","38,801","39,108","39,533","39,705","39,873","40,037","40,403","40,533","40,716","40,779","41,187","41,460","41,505","41,807","41,958","42,109","42,157","42,443","42,961","43,129","43,046","43,400","43,869","44,169","44,478","44,823","45,419","45,898","46,286","46,965","47,595","47,939","48,176","48,089","48,278","48,261"
"Northwest Territories 5","43,656","43,709","43,840","43,774","43,727","43,767","43,760","43,851","44,031","44,106","44,159","44,247","44,443","44,515","44,595","44,624","44,471","44,471","44,626","44,656","44,825","44,730","44,934","44,536","44,487","44,675","44,560","44,442","44,512","44,533","44,565","44,504","44,395","44,432","44,679","44,579","44,573","44,741","44,773","44,631","44,559","44,403","44,402","44,614","44,566","44,655","45,021","45,257","45,520","45,679","45,875","45,950","45,848"
"Nunavut 5","34,830","34,963","34,987","35,330","35,536","35,583","35,801","35,966","36,100","36,214","36,277","36,490","36,602","36,718","36,766","36,979","37,084","37,246","37,431","37,656","37,829","37,830","37,976","38,322","38,487","38,574","38,764","38,839","38,893","39,010","39,137","39,479","39,581","39,750","39,879","40,086","40,245","40,343","40,579","40,603","40,677","40,797","40,784","40,916","41,089","41,051","41,137","41,410","41,486","41,651","41,798","41,830","41,919"




Footnotes:
